Claim Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault,Vechile_registration_present,Incident_details_present,Injury_details_present,TP_type_insd_pass_back,TP_type_insd_pass_front,TP_type_driver,TP_type_pass_back,TP_type_pass_front,TP_type_bike,TP_type_cyclist,TP_type_pass_multi,TP_type_pedestrian,TP_type_other,TP_type_nk,TP_injury_whiplash,TP_injury_traumatic,TP_injury_fatality,TP_injury_unclear,TP_injury_nk,TP_region_eastang,TP_region_eastmid,TP_region_london,TP_region_north,TP_region_northw,TP_region_outerldn,TP_region_scotland,TP_region_southe,TP_region_southw,TP_region_wales,TP_region_westmid,TP_region_yorkshire,Incurred,Capped Incurred
7117,2015-02-26,Other,LD003,Head on collision,0,187,Minor Road,WET,Y,8,Y,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.28870560000001,143.28870560000001
673,2006-02-22,Other,LD003,Head on collision,0,120,Minor Road,WET,Y,13,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2583.1094672,2583.1094672
5028,2013-10-18,PH,LD003,Head on collision,0,66,Main Road,WET,Y,8,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1819.0436448,1819.0436448
7058,2015-02-16,Other,LD003,Head on collision,0,291,Main Road,NORMAL,N,15,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13703.3806688,13703.3806688
6711,2014-12-08,Other,LD003,Head on collision,1,169,Minor Road,NORMAL,N,17,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,156.62702080000003,156.62702080000003
2190,2009-10-16,PH,LD003,Head on collision,1,13,Motorway,NORMAL,N,20,Y,n/k,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,31582.0321808,31582.0321808
3945,2012-08-29,PH,LD003,Head on collision,1,332,Minor Road,NORMAL,Y,18,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5995,2014-07-14,Other,LD003,Head on collision,4,210,Main Road,WET,Y,16,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7715.2480608000005,7715.2480608000005
2670,2010-09-17,PH,LD003,Head on collision,8,19,Main Road,NORMAL,Y,13,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2578,2010-07-15,PH,LD003,Head on collision,0,69,Minor Road,WET,Y,17,Y,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2855.0685504,2855.0685504
6030,2014-07-19,Other,LD003,Head on collision,2,18,n/k,NORMAL,N,19,Y,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15295.134768,15295.134768
1193,2007-05-25,TP,LD003,Head on collision,10,66,Main Road,N/K,n/k,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1388.959344,1388.959344
2289,2009-12-15,PH,LD003,Head on collision,0,223,Minor Road,NORMAL,Y,14,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1538.9099344,1538.9099344
4247,2012-12-15,PH,LD003,Head on collision,6,271,Minor Road,WET,Y,11,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6927,2015-01-24,Other,LD003,Head on collision,0,150,Minor Road,"SNOW,ICE,FOG",Y,8,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1251.3434224,1251.3434224
1514,2008-01-17,PH,LD003,Head on collision,1,230,Main Road,NORMAL,N,11,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
217,2004-06-01,CNF,LD003,Head on collision,1,333,Minor Road,WET,Y,16,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4029.6693872,4029.6693872
4418,2013-03-05,PH,LD003,Head on collision,2,216,Main Road,NORMAL,N,15,Y,N,1,0,1,1,0,2,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1492.01492,1492.01492
5203,2013-12-05,TP,LD003,Head on collision,0,95,Minor Road,NORMAL,Y,17,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
422,2005-01-23,Other,LD003,Head on collision,1,258,Main Road,"SNOW,ICE,FOG",N,20,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2075.4680272,2075.4680272
506,2005-06-18,Other,LD003,Head on collision,2,197,Main Road,NORMAL,Y,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5100,2013-11-10,PH,LD003,Head on collision,1,69,Main Road,WET,Y,9,Y,N,1,1,0,1,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,39319.05500480001,39319.05500480001
1859,2008-11-15,TP,LD003,Head on collision,13,110,Minor Road,WET,Y,13,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2387.1511440000004,2387.1511440000004
6688,2014-12-05,Other,LD003,Head on collision,0,181,Minor Road,WET,N,13,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3769.2013280000006,3769.2013280000006
6127,2014-08-09,Other,LD003,Head on collision,4,67,Minor Road,NORMAL,Y,17,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
507,2005-06-18,Other,LD003,Head on collision,0,232,Minor Road,NORMAL,N,12,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2597.6841584000003,2597.6841584000003
2125,2009-08-13,PH,LD003,Head on collision,0,60,Minor Road,NORMAL,Y,12,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,732.225504,732.225504
5558,2014-03-27,PH,LD003,Head on collision,1,284,Main Road,NORMAL,Y,19,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1094.1054864000002,1094.1054864000002
3734,2012-05-26,PH,LD003,Head on collision,1,94,Minor Road,NORMAL,Y,7,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2273.4918256,2273.4918256
6849,2015-01-06,Other,LD003,Head on collision,1,295,Main Road,WET,N,17,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16942.8166992,16942.8166992
4670,2013-06-18,PH,LD003,Head on collision,0,254,Main Road,NORMAL,Y,17,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4643.464616,4643.464616
4961,2013-09-23,NamedDriver,LD003,Head on collision,0,214,Main Road,NORMAL,Y,17,N,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1140.520496,1140.520496
5690,2014-05-04,PH,LD003,Head on collision,1,291,Minor Road,NORMAL,Y,17,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,689.2578016000001,689.2578016000001
2581,2010-07-16,CNF,LD003,Head on collision,0,86,n/k,NORMAL,Y,6,Other,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8240.591496000001,8240.591496000001
3323,2011-10-27,Other,LD003,Head on collision,2,21,Minor Road,N/K,n/k,0,Other,N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3450.7690528000003,3450.7690528000003
4099,2012-10-25,PH,LD003,Head on collision,0,267,Minor Road,WET,N,8,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4552.845528000001,4552.845528000001
1624,2008-04-03,PH,LD003,Head on collision,1,3,Home Address,NORMAL,Y,19,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,181.90727360000002,181.90727360000002
4920,2013-09-12,TP,LD003,Head on collision,1,15,Minor Road,N/K,Y,8,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4923,2013-09-13,PH,LD003,Head on collision,0,244,Main Road,NORMAL,N,6,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,74.1534688,74.1534688
348,2004-11-01,PH,LD003,Head on collision,0,156,Minor Road,WET,Y,14,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,87.346328,87.346328
6789,2014-12-20,Other,LD003,Head on collision,1,50,Car Park,NORMAL,Y,11,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,746.3201904000001,746.3201904000001
6454,2014-10-22,Other,LD003,Head on collision,1,266,Main Road,NORMAL,Y,18,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,143.9578032,143.9578032
334,2004-10-19,PH,LD003,Head on collision,0,136,Minor Road,WET,N,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,77.64441280000001,77.64441280000001
4631,2013-06-04,PH,LD003,Head on collision,0,123,Minor Road,NORMAL,N,18,Y,N,1,0,0,0,0,1,3,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,67959.70504480001,50000.0
4468,2013-03-25,PH,LD003,Head on collision,0,208,Minor Road,NORMAL,N,8,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4039.8658528000005,4039.8658528000005
2571,2010-07-12,PH,LD003,Head on collision,4,315,Minor Road,WET,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7564,2015-06-08,Other,LD003,Head on collision,0,30,Main Road,,Y,7,Other,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
6553,2014-11-08,Other,LD003,Head on collision,2,293,Main Road,NORMAL,Y,21,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6214.1130496000005,6214.1130496000005
6729,2014-12-11,Other,LD003,Head on collision,0,225,Main Road,WET,Y,16,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,133.47042560000003,133.47042560000003
5928,2014-06-25,Other,LD003,Head on collision,394,55,Main Road,,Y,14,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68.8297792,68.8297792
7203,2015-03-18,Other,LD003,Head on collision,0,200,Minor Road,NORMAL,Y,8,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75.01165920000001,75.01165920000001
3333,2011-11-01,PH,LD003,Head on collision,1,10,Minor Road,NORMAL,Y,13,Other,Y,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1497.1204256,1497.1204256
2810,2010-12-07,PH,LD003,Head on collision,0,4,Minor Road,"SNOW,ICE,FOG",N,9,Y,N,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2600.244184,2600.244184
747,2006-05-11,Other,LD003,Head on collision,13,118,Minor Road,N/K,n/k,12,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1054.5850912,1054.5850912
1564,2008-02-17,PH,LD003,Head on collision,1,287,Minor Road,NORMAL,Y,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7001,2015-02-04,Other,LD003,Head on collision,47,138,Main Road,NORMAL,n/k,0,Other,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6550.509140800001,6550.509140800001
3536,2012-02-10,PH,LD003,Head on collision,0,57,Car Park,NORMAL,Y,10,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2192,2009-10-16,PH,LD003,Head on collision,5,165,Main Road,NORMAL,N,7,Y,N,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,32046.7059184,32046.7059184
4103,2012-10-26,PH,LD003,Head on collision,0,38,Main Road,NORMAL,N,8,Y,N,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,10106.5592464,10106.5592464
2261,2009-11-27,TP,LD003,Head on collision,17,301,Main Road,NORMAL,n/k,11,Y,N,1,1,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,11728.3791008,11728.3791008
6459,2014-10-22,Other,LD003,Head on collision,0,159,Minor Road,NORMAL,N,7,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1157.6261216,1157.6261216
3969,2012-09-09,PH,LD003,Head on collision,1,90,Main Road,NORMAL,N,11,Y,N,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,40878.910603200005,40878.910603200005
5168,2013-11-26,PH,LD003,Head on collision,0,109,Main Road,NORMAL,Y,6,Y,N,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12256.384380800002,12256.384380800002
4656,2013-06-14,NamedDriver,LD003,Head on collision,4,245,Minor Road,NORMAL,Y,11,N,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3358,2011-11-12,PH,LD003,Head on collision,12,103,Minor Road,NORMAL,N,8,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2841,2010-12-18,PH,LD003,Head on collision,2,340,Minor Road,"SNOW,ICE,FOG",N,10,Y,N,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,108.69926880000001,108.69926880000001
6672,2014-12-02,Other,LD003,Head on collision,1,36,Minor Road,NORMAL,Y,21,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
260,2004-07-29,PH,LD003,Head on collision,0,159,Minor Road,NORMAL,N,16,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,908.9981808,908.9981808
3892,2012-08-02,PH,LD003,Head on collision,1,310,Minor Road,WET,Y,19,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
3735,2012-05-27,PH,LD003,Head on collision,0,172,Main Road,NORMAL,N,11,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7635,2015-06-21,Other,LD003,Head on collision,0,258,Minor Road,,Y,18,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4393.86212,4393.86212
381,2004-12-02,CNF,LD003,Head on collision,1,324,Main Road,WET,Y,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,77.04804320000001,77.04804320000001
3602,2012-03-17,PH,LD003,Head on collision,0,95,Minor Road,NORMAL,Y,9,Y,Y,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4095,2012-10-22,PH,LD003,Head on collision,1,63,Minor Road,"SNOW,ICE,FOG",Y,8,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7348,2015-04-23,Other,LD003,Head on collision,1,129,Minor Road,,Y,11,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11328.433283200002,11328.433283200002
600,2005-11-18,Other,LD003,Head on collision,0,218,Minor Road,NORMAL,N,12,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1212.4630336,1212.4630336
46,2003-11-06,Other,LD003,Head on collision,0,142,Minor Road,NORMAL,N,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4597.2677904,4597.2677904
3943,2012-08-28,TP,LD003,Head on collision,7,356,Main Road,NORMAL,Y,13,Y,Y,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1587,2008-03-04,PH,LD003,Head on collision,1,226,Main Road,NORMAL,N,16,Other,n/k,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,40142.1323264,40142.1323264
4907,2013-09-09,PH,LD003,Head on collision,7,167,Main Road,NORMAL,n/k,11,Y,N,1,1,1,3,0,1,1,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,83896.6062304,50000.0
5730,2014-05-10,Other,LD003,Head on collision,2,284,Minor Road,WET,N,11,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,732.8364192,732.8364192
6135,2014-08-11,Other,LD003,Head on collision,0,250,Main Road,NORMAL,N,9,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4790.4624496,4790.4624496
5993,2014-07-13,Other,LD003,Head on collision,3,140,Main Road,NORMAL,Y,11,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6041,2014-07-21,Other,LD003,Head on collision,0,95,Minor Road,NORMAL,N,9,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,836.3574544,836.3574544
7356,2015-04-24,Other,LD003,Head on collision,1,314,Not Applicable,NORMAL,N,14,Other,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9207.5393472,9207.5393472
5571,2014-03-29,PH,LD003,Head on collision,0,213,Minor Road,NORMAL,Y,9,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2749,2010-11-10,PH,LD003,Head on collision,1,178,Main Road,NORMAL,Y,22,Y,N,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,998.0027072,998.0027072
3609,2012-03-21,PH,LD003,Head on collision,0,110,Main Road,NORMAL,N,16,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5736,2014-05-10,Other,LD003,Head on collision,1,67,Minor Road,WET,N,19,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8370.323702400001,8370.323702400001
5698,2014-05-06,Other,LD003,Head on collision,122,17,Other,NORMAL,Y,11,Y,N,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,958.9041344000001,958.9041344000001
1601,2008-03-19,TP,LD003,Head on collision,9,172,Minor Road,N/K,n/k,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11594.734128,11594.734128
4709,2013-06-29,PH,LD003,Head on collision,0,140,Minor Road,NORMAL,Y,8,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3526.3188992000005,3526.3188992000005
2888,2011-01-09,PH,LD003,Head on collision,2,242,Main Road,NORMAL,N,17,Y,N,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
3092,2011-05-26,NamedDriver,LD003,Head on collision,1,215,Main Road,NORMAL,Y,18,Other,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5340,2014-01-16,PH,LD003,Head on collision,1,175,Main Road,WET,N,18,Y,N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,472.8483648,472.8483648
3359,2011-11-12,PH,LD003,Head on collision,1,207,Main Road,NORMAL,Y,15,Other,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
6114,2014-08-05,Other,LD003,Head on collision,0,172,Car Park,NORMAL,Y,12,Y,N,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8933.572971200001,8933.572971200001
